epoch,train_loss,val_loss,val_macro_f1,val_f1_standing,val_f1_lying,val_f1_foraging,val_f1_drinking,val_f1_ruminating,val_f1_grooming,val_f1_other,lr
1,0.537350,1.844716,0.114897,0.556098,0.214286,0.033898,0.000000,0.000000,0.000000,0.000000,0.00000000e+00
2,0.180702,1.779194,0.120409,0.601942,0.071429,0.169492,0.000000,0.000000,0.000000,0.000000,1.66666667e-05
3,0.166225,2.116958,0.116677,0.641860,0.071429,0.103448,0.000000,0.000000,0.000000,0.000000,3.33333333e-05
4,0.131449,2.071242,0.147534,0.663507,0.000000,0.369231,0.000000,0.000000,0.000000,0.000000,5.00000000e-05
5,0.109378,2.743982,0.117696,0.654378,0.000000,0.169492,0.000000,0.000000,0.000000,0.000000,4.98309589e-05
6,0.088252,2.514560,0.135417,0.666667,0.000000,0.281250,0.000000,0.000000,0.000000,0.000000,4.93261218e-05
7,0.072323,1.692756,0.178941,0.674699,0.145455,0.432432,0.000000,0.000000,0.000000,0.000000,4.84923155e-05
8,0.063633,2.730515,0.128915,0.672897,0.000000,0.229508,0.000000,0.000000,0.000000,0.000000,4.73408160e-05
9,0.055514,3.602680,0.134654,0.656863,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,4.58871953e-05
10,0.047763,2.068852,0.137435,0.676329,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,4.41511111e-05
11,0.045273,3.144954,0.105189,0.663594,0.000000,0.072727,0.000000,0.000000,0.000000,0.000000,4.21560409e-05
12,0.037053,2.594733,0.131237,0.683168,0.097561,0.137931,0.000000,0.000000,0.000000,0.000000,3.99289648e-05
13,0.028559,2.826299,0.177564,0.717949,0.000000,0.525000,0.000000,0.000000,0.000000,0.000000,3.75000000e-05
14,0.024614,2.579331,0.140914,0.696078,0.000000,0.290323,0.000000,0.000000,0.000000,0.000000,3.49019942e-05
15,0.019870,2.945470,0.170503,0.730159,0.045455,0.417910,0.000000,0.000000,0.000000,0.000000,3.21700808e-05
