track_id,label_id,label_name,start_frame,end_frame,start_sec,end_sec,duration_sec
track_0041,6,Other,721,729,24.034,24.301,0.267
track_0041,5,Grooming,729,737,24.301,24.567,0.267
track_0041,4,Ruminating,737,745,24.567,24.834,0.267
track_0041,5,Grooming,753,769,25.101,25.634,0.533
track_0041,6,Other,769,777,25.634,25.901,0.267
track_0041,5,Grooming,777,785,25.901,26.168,0.267
track_0041,4,Ruminating,785,793,26.168,26.434,0.267
track_0041,5,Grooming,793,825,26.434,27.501,1.067
track_0041,6,Other,825,841,27.501,28.034,0.533
