dataset,video_id,track_id,label_id,behavior,duration_sec,pct_time
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,0,Standing,6.133,95.8281
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0001,6,Other,0.267,4.1719
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,0,Standing,1.333,18.5139
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,2,Foraging,1.333,18.5139
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,5,Grooming,2.4,33.3333
inference,"D0C2.01(GrS,1LD,1RE)",track_0002,6,Other,2.134,29.6389
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,0,Standing,0.267,3.0337
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,2,Foraging,0.8,9.0899
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,4,Ruminating,0.267,3.0337
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,5,Grooming,0.8,9.0899
inference,"D0C2.01(GrS,1LD,1RE)",track_0003,6,Other,6.667,75.7528
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,2,Foraging,0.533,100.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0004,6,Other,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,1,Lying,14.934,100.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0005,6,Other,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,2,Foraging,1.867,17.9519
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,4,Ruminating,2.4,23.0769
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,5,Grooming,1.066,10.25
inference,"D0C2.01(GrS,1LD,1RE)",track_0006,6,Other,5.067,48.7212
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,4,Ruminating,0.267,25.0234
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,5,Grooming,0.267,25.0234
inference,"D0C2.01(GrS,1LD,1RE)",track_0007,6,Other,0.533,49.9531
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0016,6,Other,1.066,100.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,0,Standing,1.334,20.8437
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,2,Foraging,0.267,4.1719
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,5,Grooming,1.866,29.1562
inference,"D0C2.01(GrS,1LD,1RE)",track_0019,6,Other,2.933,45.8281
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,5,Grooming,0.533,39.985
inference,"D0C2.01(GrS,1LD,1RE)",track_0020,6,Other,0.8,60.015
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,0,Standing,0.533,49.9531
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,2,Foraging,0.267,25.0234
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0021,6,Other,0.267,25.0234
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,2,Foraging,2.133,88.875
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,5,Grooming,0.267,11.125
inference,"D0C2.01(GrS,1LD,1RE)",track_0022,6,Other,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0026,6,Other,1.066,100.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,2,Foraging,2.133,100.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0027,6,Other,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,2,Foraging,2.133,42.0959
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,5,Grooming,2.134,42.1157
inference,"D0C2.01(GrS,1LD,1RE)",track_0030,6,Other,0.8,15.7884
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,5,Grooming,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0034,6,Other,2.933,100.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,0,Standing,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,1,Lying,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,2,Foraging,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,3,Drinking,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,4,Ruminating,0.0,0.0
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,5,Grooming,0.533,66.625
inference,"D0C2.01(GrS,1LD,1RE)",track_0037,6,Other,0.267,33.375
